accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc,pr_auc,brier,ece,model,fold
0.71125,0.606329466158654,0.5789902603856092,0.606329466158654,0.5835502342529932,0.6744295560597628,0.2759805054796126,0.13892598734055864,0.030787632418884475,GP-RBF,0
0.57125,0.6206280234599084,0.5704441902761892,0.6206280234599084,0.5210492233631631,0.6568988398475963,0.26546469019034946,0.13979411353765964,0.009985333658821916,SVM,0
0.68,0.5928550023545528,0.5639521169949286,0.5928550023545528,0.5629572090720523,0.6298749946487434,0.24386490629520413,0.14243997660971078,0.019409114948042972,GP-RBF,1
0.57,0.5950169099704611,0.5556000901826198,0.5950169099704611,0.5119044240755981,0.6314696690782996,0.2388650418965887,0.14208381951774537,0.021945646856423848,SVM,1
0.72875,0.5645040455498951,0.5580462482302972,0.5645040455498951,0.5604785112981835,0.6640481184982233,0.2662017600061073,0.13934688501037903,0.012692374725739372,GP-RBF,2
0.5875,0.6111777045250225,0.5652446990252236,0.6111777045250225,0.5270546251907905,0.6219444325527633,0.24979311455038783,0.1422579334515444,0.0189309143359408,SVM,2
0.67875,0.6086626139817629,0.5727547634914834,0.6086626139817629,0.5709506906316583,0.6725245087546556,0.29598384864834315,0.13822704917667025,0.007056749938189059,GP-RBF,3
0.5825,0.6302281775760948,0.5760804321728692,0.6302281775760948,0.5306055048450226,0.6668093668393338,0.26128695458442636,0.13943528366078917,0.02109524604259192,SVM,3
0.72625,0.603553980266309,0.5827549249770337,0.603553980266309,0.5883758466840996,0.684218369149876,0.2836255010724285,0.1386687265698777,0.03019817057139293,GP-RBF,4
0.58625,0.6496205468808208,0.5878584464611616,0.6496205468808208,0.5394582373146659,0.6939255569392555,0.3085514521425944,0.13796751921272196,0.03113277982341246,SVM,4
