k,coherence_cv,log_perplexity,perplexity
5,0.5957689638004466,-7.000737070429403,1097.441752260133
10,0.5558874147167558,-7.067860608811482,1173.6344832014981
15,0.5374530146748292,-7.217150094866937,1362.6002405362142
20,0.5283196566460723,-7.279164768742822,1449.7766205340001
