Function,D,Optimiser,MeanErr,StdErr,BestErr,WorstErr
F1 Shifted Sphere,2,GA,0,0,0,0
F1 Shifted Sphere,2,PSO,0,0,0,0
F1 Shifted Sphere,2,SA,0.161047191226267,0.316645406310262,0.00621283660694871,1.26942318305061
F1 Shifted Sphere,10,GA,0.010986256499109,0.0056508676344414,0.00221126835509722,0.0212126286738794
F1 Shifted Sphere,10,PSO,63.8042326942133,247.112730642231,0,957.0634904132
F1 Shifted Sphere,10,SA,8.88691193712554,6.47939042989925,2.93893504692858,29.4606239428248
F9 Shifted Rastrigin,2,GA,9.34884762197422e-12,3.6207931146137e-11,0,1.40232714329613e-10
F9 Shifted Rastrigin,2,PSO,0,0,0,0
F9 Shifted Rastrigin,2,SA,0.419463048911265,0.460050152981572,5.05416267060355e-07,1.06226303464723
F9 Shifted Rastrigin,10,GA,0.0180216515230844,0.0113898015615664,0.00497133073491796,0.0416501700697154
F9 Shifted Rastrigin,10,PSO,11.4480448016842,6.52187578249823,2.98487717127989,28.7520002176464
F9 Shifted Rastrigin,10,SA,21.5993377179533,9.17696183633929,4.97683052649097,38.4185313720602
